stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
MASTELLE,16341,"MASTELLE",,47.529395,-0.592468,,,0,zone_MASTELLE,,1
MASTSY,460558,"MAIRIE DE SAINT SYLVAIN",,47.519803,-0.471131,,,0,zone_MAIRIE_DE_SAINT_SYLVAIN,,1
MATE25-E,11509,"CHU - HOPITAL",,47.480805,-0.554677,,,0,zone_CHU_-_HOPITAL,,0
MATEC.,9274,"BELLE BEILLE MAISON DE TECHNOPOLE",,47.478330,-0.605115,,,0,zone_BELLE_BEILLE_MAISON_DE_TECHNOPOLE,,1
MATECHNO,29466,"BELLE BEILLE MAISON DE TECHNOPOLE",,47.478603,-0.605689,,,0,zone_BELLE_BEILLE_MAISON_DE_TECHNOPOLE,,1
MATER89,10739,"MARTINIERE",,47.608580,-0.563686,,,0,zone_MARTINIERE,,0
MATERN25,700,"MARTINIERE",,47.608572,-0.563727,,,0,zone_MARTINIERE,,0
MATERNIT,11832,"CHU - HOPITAL",,47.481359,-0.553860,,,0,zone_CHU_-_HOPITAL,,0
MATLN-E,39102,"MAISON DE TECHNOPOLE",,47.479114,-0.605828,,,0,zone_MAISON_DE_TECHNOPOLE,,0
MAUFINE,36835,"MAUFINEE",,47.502337,-0.589056,,,0,zone_MAUFINEE,,1
MAUFIN-E,17293,"MAUFINEE",,47.502612,-0.588847,,,0,zone_MAUFINEE,,1
MAUPER-E,24902,"MAUPERTHUIS",,47.433637,-0.485645,,,0,zone_MAUPERTHUIS,,0
MAUPERTH,5939,"MAUPERTHUIS",,47.433890,-0.485658,,,0,zone_MAUPERTHUIS,,0
MAURIAC,17599,"MALRAUX",,47.457512,-0.473443,,,0,zone_MALRAUX,,1
MAURIA-E,24260,"MALRAUX",,47.457594,-0.473421,,,0,zone_MALRAUX,,1
MBRIAN-E,380053,"MARIUS BRIANT",,47.473981,-0.577487,,,0,zone_MARIUS_BRIANT,,1
MBRIANT,809387,"MARIUS BRIANT",,47.473978,-0.577620,,,0,zone_MARIUS_BRIANT,,1
MEIG34-E,7347,"EGLISE DE LA MEIGNANNE",,47.519706,-0.667614,,,0,zone_EGLISE_DE_LA_MEIGNANNE,,0
MEIGNA34,22128,"EGLISE DE LA MEIGNANNE",,47.519388,-0.667741,,,0,zone_EGLISE_DE_LA_MEIGNANNE,,0
MEIGNA-E,11052,"LA MEIGNANNE",,47.484431,-0.582736,,,0,zone_LA_MEIGNANNE,,1
MEIGNANN,10399,"LA MEIGNANNE",,47.484015,-0.582151,,,0,zone_LA_MEIGNANNE,,1
MELGRA-E,5864,"MELGRANI",,47.477619,-0.592268,,,0,zone_MELGRANI,,0
MELGRANI,9954,"MELGRANI",,47.477821,-0.592097,,,0,zone_MELGRANI,,0
