stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopPoint:MANBEN1,"Béner","",47.999348,0.235525,,,0,StopArea:MANPLA_BENER,1
StopPoint:MANHUI1,"Logis de l'Huisne","",47.999859,0.240316,,,0,StopArea:MANPLA_HUISN,1
StopPoint:MANLUA1,"Le Luard","",48.009575,0.263658,,,0,StopArea:MANPLA_LELUA,0
StopPoint:MANCIY1,"Cimetière Yvré-l'Évêque","",48.012375,0.267476,,,0,StopArea:MANPLA_CIMET,1
StopPoint:MANGBO2,"Guy Bouriat","",48.013866,0.272262,,,0,StopArea:MANPLA_GUYBO,1
StopPoint:MANMIC1,"Louise Michel","",48.024155,0.329423,,,0,StopArea:MANPLA_LOUMI,1
StopPoint:MANVAU1,"Vaudrou","",48.027115,0.324388,,,0,StopArea:MANPLA_VAUDR,1
StopPoint:MANVDU1,"Verdun","",48.026043,0.324898,,,0,StopArea:MANPLA_VERDU,1
StopPoint:MANMIC2,"Louise Michel","",48.024082,0.32995,,,0,StopArea:MANPLA_LOUMI,1
StopPoint:MANCHS1,"La Chesnaie","",48.023972,0.336281,,,0,StopArea:MANPLA_LACHE,1
StopPoint:MANSHU1,"St-Hubert","",48.015591,0.335446,,,0,StopArea:MANPLA_STHUB,1
StopPoint:MANFOR1,"La Forêt","",48.015915,0.332323,,,0,StopArea:MANPLA_LAFOR,1
StopPoint:MANCHP1,"Champagné","",48.019394,0.335865,,,0,StopArea:MANPLA_CHAMP,1
StopPoint:MANCHS2,"La Chesnaie","",48.02409,0.33637,,,0,StopArea:MANPLA_LACHE,1
StopPoint:MANJPR2,"Jacques Prévert","",48.023338,0.332403,,,0,StopArea:MANPLA_JACQU,1
StopPoint:MANGOU2,"Léopold Gouloumes","",48.021046,0.330975,,,0,StopArea:MANPLA_LEOPO,1
StopPoint:MANGBO1,"Guy Bouriat","",48.013603,0.270633,,,0,StopArea:MANPLA_GUYBO,1
StopPoint:MANCIY2,"Cimetière Yvré-l'Évêque","",48.011871,0.266276,,,0,StopArea:MANPLA_CIMET,1
StopPoint:MANLUA2,"Le Luard","",48.009518,0.26354,,,0,StopArea:MANPLA_LELUA,1
StopPoint:MANHUI2,"Logis de l'Huisne","",47.999908,0.240127,,,0,StopArea:MANPLA_HUISN,1
